"","day","month","year","deaths","date"
"632",19,6,"2017",79,2017-06-19
"633",20,6,"2015",65,2015-06-20
"634",20,6,"2016",83,2016-06-20
"635",20,6,"2017",76,2017-06-20
"636",21,6,"2015",79,2015-06-21
"637",21,6,"2016",70,2016-06-21
"638",21,6,"2017",75,2017-06-21
"639",22,6,"2015",82,2015-06-22
"640",22,6,"2016",76,2016-06-22
"641",22,6,"2017",77,2017-06-22
"642",23,6,"2015",73,2015-06-23
"643",23,6,"2016",67,2016-06-23
"644",23,6,"2017",83,2017-06-23
"645",24,6,"2015",81,2015-06-24
"646",24,6,"2016",77,2016-06-24
"647",24,6,"2017",86,2017-06-24
"648",25,6,"2015",66,2015-06-25
"649",25,6,"2016",77,2016-06-25
"650",25,6,"2017",88,2017-06-25
"651",26,6,"2015",84,2015-06-26
"652",26,6,"2016",71,2016-06-26
"653",26,6,"2017",82,2017-06-26
"654",27,6,"2015",69,2015-06-27
"655",27,6,"2016",85,2016-06-27
"656",27,6,"2017",74,2017-06-27
"657",28,6,"2015",64,2015-06-28
"658",28,6,"2016",82,2016-06-28
"659",28,6,"2017",88,2017-06-28
"660",29,6,"2015",61,2015-06-29
"661",29,6,"2016",77,2016-06-29
"662",29,6,"2017",62,2017-06-29
"663",30,6,"2015",64,2015-06-30
"664",30,6,"2016",73,2016-06-30
"665",30,6,"2017",78,2017-06-30
"666",1,7,"2015",71,2015-07-01
"667",1,7,"2016",84,2016-07-01
"668",1,7,"2017",78,2017-07-01
"669",2,7,"2015",67,2015-07-02
"670",2,7,"2016",75,2016-07-02
"671",2,7,"2017",82,2017-07-02
"672",3,7,"2015",85,2015-07-03
"673",3,7,"2016",69,2016-07-03
"674",3,7,"2017",82,2017-07-03
"675",4,7,"2015",94,2015-07-04
"676",4,7,"2016",102,2016-07-04
"677",4,7,"2017",65,2017-07-04
"678",5,7,"2015",63,2015-07-05
"679",5,7,"2016",82,2016-07-05
"680",5,7,"2017",83,2017-07-05
"681",6,7,"2015",77,2015-07-06
"682",6,7,"2016",103,2016-07-06
"683",6,7,"2017",74,2017-07-06
"684",7,7,"2015",80,2015-07-07
"685",7,7,"2016",82,2016-07-07
"686",7,7,"2017",71,2017-07-07
"687",8,7,"2015",83,2015-07-08
"688",8,7,"2016",72,2016-07-08
"689",8,7,"2017",73,2017-07-08
"690",9,7,"2015",82,2015-07-09
"691",9,7,"2016",74,2016-07-09
"692",9,7,"2017",60,2017-07-09
"693",10,7,"2015",71,2015-07-10
"694",10,7,"2016",77,2016-07-10
"695",10,7,"2017",71,2017-07-10
