incident_id,offense_id,OFFENSE_CODE,OFFENSE_CODE_EXTENSION,OFFENSE_TYPE_ID,OFFENSE_CATEGORY_ID,FIRST_OCCURRENCE_DATE,LAST_OCCURRENCE_DATE,REPORTED_DATE,INCIDENT_ADDRESS,GEO_X,GEO_Y,GEO_LON,GEO_LAT,DISTRICT_ID,PRECINCT_ID,NEIGHBORHOOD_ID,IS_CRIME,IS_TRAFFIC,VICTIM_COUNT
202164716,202164716240400,2404,0,theft-of-motor-vehicle,auto-theft,2/1/2021 4:00:00 PM,2/1/2021 9:15:00 PM,2/1/2021 9:19:00 PM,6980 E GIRARD AVE,3167207,1664063,-104.9061416,39.6551486,3,323,hampden,1,0,1
2018655426,2018655426531300,5313,0,curfew,public-disorder,9/23/2018 11:10:00 PM,,9/23/2018 11:43:00 PM,8300 E NORTHFIELD BLVD,3170911,1709757,-104.8919004,39.7805198,5,511,central-park,1,0,1
2022362937,2022362937230400,2304,0,theft-parts-from-vehicle,theft-from-motor-vehicle,7/16/2022 2:45:00 PM,7/16/2022 6:30:00 PM,7/17/2022 6:31:00 AM,3150 S TAMARAC DR,3169026,1665262,-104.8996532,39.6584073,3,323,hampden,1,0,1
20226016303,20226016303230400,2304,0,theft-parts-from-vehicle,theft-from-motor-vehicle,8/26/2022 12:00:00 PM,8/26/2022 12:00:00 PM,8/26/2022 3:08:00 PM,7755 E QUINCY AVE,3169355,1658597,-104.8986414,39.6401042,3,324,hampden-south,1,0,1
20216014013,20216014013299900,2999,1,criminal-mischief-mtr-veh,public-disorder,7/3/2021 8:35:00 PM,7/4/2021 4:30:00 AM,7/5/2021 12:04:00 PM,2180 S COLORADO BLVD,3157483,1672041,-104.9405023,39.6772196,3,314,university-hills,1,0,1
2018753274,2018753274570700,5707,0,criminal-trespassing,all-other-crimes,11/4/2018 3:58:00 AM,,11/4/2018 5:08:00 AM,1948 BLAKE ST,3142167,1699866,-104.9943648,39.7538513,6,612,union-station,1,0,1
2021200163,2021200163521201,5212,1,weapon-by-prev-offender-powpo,all-other-crimes,4/8/2021 7:30:00 PM,,4/8/2021 8:56:00 PM,1500 BLK N PENNSYLVANIA ST,3145949,1694867,-104.9810155,39.7400696,6,621,north-capitol-hill,1,0,1
2018157394,2018157394559900,5599,0,health-violations,all-other-crimes,3/7/2018 6:30:00 PM,,3/7/2018 8:35:00 PM,1400 BLOCK N MONROE ST,3156150,1694351,-104.9447535,39.7384875,2,213,congress-park,1,0,1
20228346,20228346240400,2404,0,theft-of-motor-vehicle,auto-theft,1/5/2022 1:00:00 PM,1/6/2022 12:00:00 PM,1/6/2022 12:32:00 PM,10225 E GIRARD AVE,3177747,1664763,-104.8686912,39.6568751,3,323,hampden,1,0,1
2018765447,2018765447570700,5707,0,criminal-trespassing,all-other-crimes,11/9/2018 10:30:00 AM,,11/9/2018 1:40:00 PM,E 46TH AVE / PACKING HOUSE RD,3147345,1709444,-104.9757524,39.7800638,2,212,elyria-swansea,1,0,1
